ID_ARTIKEL,HTML,FULL_TEXT,TGL_TERBIT,TGL_CRAWL,JUDUL,URL,INFO_WHAT,INFO_WHERE,INFO_WHY,INFO_WHO,INFO_WHEN,INFO_HOW,LABEL
644,"null","TEMPO.CO  Kediri-Wakil Walikota Kediri Abdullah Abubakar membantah melakukan korupsi dan berdalih justru menyelamatkan uang negara saat menarik dana asuransi sebesar Rp4 4 miliar dari AJB Bumiputera. Dana itu  kata Abubakar sebelumnya disetorkan kepada AJB Bumiputera oleh bekas Walikota Kediri HA Maschut yang tengah diselidiki Kejaksaan Tinggi Jawa Timur atas kerjasama berkedok asuransi itu.  Ketika saya menjabat  segera menarik dana dari Bumiputera   kata Abubakar kepada Tempo  Jumat  24 Mei 2013. Kasus ini terkuak setelah Inspektorat menyidik pada 2009 dan menyatakan kerjasama itu melanggar Permendagri Nomor 13 tahun 2006 tentang Pengelolaan Keuangan Daerah. Pemerintah diminta menarik dana yang terlanjur disetor ke Bumiputera untuk menghindari jerat korupsi. Saat itu Abubakar bersama Inspektorat  Bagian Hukum  dan sejumlah pejabat pemerintah melakukan negosiasi dengan Bumiputera agar mengembalikan premi yang terlanjur disetor. Perjuangan itu membuahkan hasil ketika Bumiputera mengembalikan dana Rp3 5 miliar ke kas daerah. Sisanya masih “nyantol” di Bumiputera. Program Asuransi Idaman untuk pegawai negeri sipil  sukarelawan  dan honorer ini ditandatangani mantan Walikota HA Maschut dengan AJB Bumiputera pada 2008. Setelah terpergok audit Badan Pemeriksa Keuangan  Kejaksaan Tinggi Jawa Timur menelisik kerjasama berbau korupsi tersebut. Belakangan diketahui jika Maschut dan dua pejabat Bumi Putera menikmati dana fee kerjasama hingga ratusan juta rupiah.",2013-05-24,2013-05-24,"Dituding Korupsi  Berkilah Amankan Uang Negara","http://www.tempo.co/read/news/2013/05/24/058483065/Dituding-Korupsi-Berkilah-Amankan-Uang-Negara",null,null,null,null,null,null,"Hukum dan Kriminal"
750,"null","Metrotvnews.com  Martapura: Tuan rumah Barito Putera mengalahkan PSPS Pekanbaru dengan skor telak 5-2 dalam lanjutan Liga Super Indonesia di Stadion Demang Lehman Martapura Kalimantan Selatan  Sabtu (27/4). Kemenangan besar Barito di laga terakhir ISL putaran pertama itu dipersembahkan striker Coulibaly Djibril yang menyumbangkan empat gol atau quatrix  sedangkan satu gol lagi dicetak Dedy Hartono. Sedangkan dua gol PSPS Pekanbaru yang menempati peringkat 16 klasemen sementara ISL dicetak dua pemain asing yakni Tsimi Joel dan striker Pape Latyr yang tampil cukup meyakinkan dalam pertandingan tandang itu. Pertandingan yang disaksikan sekitar 10 ribu penonton dipimpin wasit Oky Dwi Putra berlangsung seru dan membuat penonton menahan nafas karena banyak peluang gol yang diciptakan pemain-pemain Barito. Di babak pertama  sedikitnya ada lima peluang emas yang hampir membuahkan gol bagi Barito namun hanya dua yang berhasil yakni menit ke-32 melalui kaki Djibril setelah berhasil melewati dua pemain belakang PSPS. Dua menit kemudian atau menit ke-34  striker bernomor punggung 21 itu kembali membobol gawang PSPS yang dijaga kiper Fance Haryanto setelah menerima umpan silang dari Syaifullah Nazar di dalam kotak penalti. Kedudukan 2-0 bagi anak-anak asuhan Salahudin itu tetap bertahan hingga pluit babak pertama berakhir dan memasuki babak kedua  pemain Barito tetap mempertahankan pola menyerang untuk mendobrak pertahanan PSPS. Hasilnya  menit ke-54 Djibril mencetak gol ketiga atau hattrick setelah menerima umpan dari bagian tengah lapangan kemudian menggiring bola ke kotak penalti dan berhasil memperdaya kiper PSPS. Ketinggalan tiga gol membuat pemain PSPS bangkit dan berusaha mencetak gol. Hasilnya menit ke-61 pemain belakang Tsimi Joel melepaskan tembakan keras yang tidak mampu dihalau kiper Barito sehingga skor menjadi 3-1. Satu gol balasan itu membuat anak-anak asuhan Mundari Karya makin percaya diri untuk mengejar ketinggalan dan menit ke-72 kembali membobol gawang Barito yang dijaga Aditya melalui kaki striker asing Pape Latyr. Selisih satu gol  membuat pemain Barito meningkatkan tempo serangan dan berhasil menambah gol melalui kaki Djibril pada menit ke-82 setelah lolos dari pengawalan pemain belakang PSPS. Menutup kemenangan Barito  pemain tengah Dedy Hartono ikut menyumbangkan gol menit ke-86 setelah menerima umpan lambung dari penjaga gawang kemudian menggiring bola dan melepaskan tembakan dari luar kota penalti. Pelatih Barito Putera Salahudin mengatakan  anak-anak asuhnya tampil prima dan berhasil mengembangkan pola menyerang sehingga mampu membobol gawang lawan hingga lima kali meski pun sempat kebobolan dua gol. Sedangkan Asisten pelatih PSPS Pekanbaru Afrizal Tanjung mengakui pemainnya sering salah posisi sementara pemain Barito bermain bagus sehingga bisa meraih kemenangan dengan skor telak.",2013-04-28,2013-04-28,"Barito Taklukkan PSPS Pekanbaru","http://www.metrotvnews.com/bola/read/2013/04/27/14/149871/Barito-Taklukkan-PSPS-Pekanbaru",null,null,null,null,null,null,"Olahraga"
871,"null","REPUBLIKA.CO.ID  JAKARTA -- Samsung Electronics mengenalkan seri tablet terbarunya  Galaxy Tab 3  dengan layar sentuh tujuh inci dan sistem operasi Android versi 4.1.  Dengan Galaxy Tab 3  Samsung telah mengembangkan jajaran tablet inovatifnya  membuatnya semakin kecil dan mudah dibawa dengan tetap meningkatkan pengalaman bagi penggunanya   sebut Samsung dalam situs resminya  Senin (29/4). Samsung mengklaim tablet terbarunya itu lebih tipis dibanding tablet Galaxy Tab 2 yang juga mempunyai layar sentuh tujuh inci. Samsung Galaxy Tab 3 menggunakan prosesor Dual Core 1 2 GHz dan RAM 1GB dengan pilihan kapasitas penyimpanan data internal delapan atau 16GB. Perangkat yang dilengkapi kamera belakang tiga megapiksel dan kamera depan 1 3 megapiksel itu masih menggunakan teknologi layar TFT dengan resolusi 1024 x 600 atau 169 piksel per inci. Samsung menyebut Galaxy Tab 3 versi WiFi akan tersedia di pasaran global mulai Mei 2013 dan versi 3G akan hadir pada Juni 2013. Namun  produsen elektronika asal Korea Selatan itu tidak menyebut harga jual perangkat berdimensi 111.1 x 188 x 9 9 centimeter itu  demikian seperti yang dikutip dari Samsung Mobile Press.",2013-04-29,2013-04-29,"Samsung Kenalkan Galaxy Tab 3","http://www.republika.co.id/berita/trendtek/gadget/13/04/29/mm0qzo-samsung-kenalkan-galaxy-tab-3",null,null,null,null,null,null,"Teknologi dan Sains"
6,"null","Jakarta (ANTARA News) - Anggota Komisi X DPR RI Dedi `Miing` Gumelar menilai Menteri Pendidikan dan Kebudayaan Muhammad Nuh tidak menepati janji bahwa Ujian Nasional tidak akan menghadapi masalah dan akan dilakukan serempak di seluruh Indonesia.  Dengan pengumumannya sendiri bahwa Ujian Nasional tingkat SMA ditunda untuk beberapa provinsi  berarti Menteri M Nuh tidak menepati janjinya   kata Dedi di Jakarta  Minggu. Dia mengatakan  Komisi X DPR RI akan segera memanggil dia untuk menanyakan alasan penundaan Ujian Nasional di sejumlah provinsi. Muhammad Nuh sendiri meminta maaf karena jadwal Ujian Nasional 2013 tingkat SMA/MA dan paket C di sebelas provinsi diundur dari jadwal semula Senin besok  gara-gara persoalan teknis.  Kami dari kementerian meminta maaf atas segala persoalan teknis yang kita hadapi untuk menyelesaikan UN ini ” kata Nuh dalam jumpa pers siang tadi. Kesebelas provinsi itu badalah Kalimantan Selatan  Kalimantan Timur  Sulawesi Utara  Gorontalo  Sulawesi Tengah  Sulawesi Barat  Sulawesi Selatan  Sulawesi Tenggara  Bali  Nusa Tenggara Barat  dan Nusa Tenggara Timur. “Jumlah siswa di sebelas provinsi tersebut sebanyak 1 1 juta di 3.601 SMA/MA dan 1.508 SMK. Untuk 22 provinsi yang lain sudah siap. Termasuk DKI tetap dilaksanakan sesuai jadwal yaitu mulai Senin besok ” kata M. Nuh.",2013-04-14,2013-04-14,"Mendikbud tak tepati janji","http://www.antaranews.com/berita/368983/mendikbud-tak-tepati-janji",null,null,null,null,null,null,"Pendidikan"
1178,"null","TEMPO.CO  Jakarta - Empat penjambret babak belur dikeroyok masa setelah sepeda motor yang mereka tumpangi menabrak tiang listrik. Peristiwa itu terjadi di Jalan Raya Daan Mogot KM 12  Cengkareng  Jakarta Barat  Kamis  18 April 2013  pukul 01.00 WIB.  Empat pelaku naik satu sepeda motor   kata Kepala Unit Reserse dan Kriminal Polsek Cengkareng  Ajun Komisaris Khoiri. (baca: Waspadai Penjambret Berkeok Tukang Sayur) Keempat pelaku itu adalah Randi Dewangga  18 tahun  Johan Tampubolon (18)  Doni Setiawan (30)  dan Harry (22). Khoiri mengatakan  seorang pelaku harus dilarikan ke Rumah Sakit Polri Kramat Jati karena luka akibat kecelakaan tersebut.  Kondisinya cukup parah setelah menabrak tiang listrik   ujarnya. Menurut Khoiri  keempat pelaku menguntit korban  Ariswan Effendi  21 tahun  warga Kalideres  Jakarta Barat. Di Jalan Daan Mogot  Ariswan menepikan sepeda motornya untuk buang air kecil. Dia tidak sadar ada empat orang yang mendekat. Dua pelaku menodongkan senjata tajam. Setelah mendapatkan telepon genggam dan dompet korban  pelaku kabur menggunakan sepeda motor. Saat pelaku menjauh  korban berteriak meminta pertolongan. Warga di sekitar lokasi keluar dan mengejar pelaku.  Mungkin karena motor tidak seimbang dan kelebihan kapasitas  mereka menabrak tiang listrik   ujar Khoiri. Tanpa basa-basi  massa menghakimi penjahat-penjahat itu. Selanjutnya  empat sekawan tersebut digiring ke Polsek Cengkareng untuk mempertanggungjawabkan perbuatan mereka. Polisi sudah menahan tiga pelaku untuk menjalani pemeriksaan. Mereka diancam dengan Pasal 365 KUHP tentang Pencurian dengan Kekerasan. Mereka diancam hukuman 5 tahun penjara.",2013-04-18,2013-04-18,"Tabrak Tiang Listrik  Penjambret Dibekuk","http://www.tempo.co/read/news/2013/04/18/064474202/Tabrak-Tiang-Listrik-Penjambret-Dibekuk",null,null,null,null,null,null,"Bencana dan Kecelakaan"
675,"null","REPUBLIKA.CO.ID  MANILA -- Peso Filipina (PHP/Philippines Peso) menjadi mata uang terbaik ketiga di dunia menurut Standar & Poor Rating Service (S&P) kepada The Philippine Star di Manila  Minggu. Mata uang peso menempati peringkat ketiga secara global  meningkat 25 persen secara riil dari Maret 2007 hingga Maret 2013  sebagaimana laporan S&P.  Hanya mata uang China renminbi dan dolar Singapura yang mengungguli peso Filipina. Dua mata uang tersebut masing-masing menguat 29 persen dan 26 persen dari level keduanya pada enam tahun lalu   demikian laporan S&P.   Kinerja mata uang dihitung berdasarkan nilai tukar efektif riil (REER/Real Effective Exchange Rate) yang disesuikan dengan nilai inflasi mata uang versus beberapa unit parameter lain dari mitra dagang.    Tidak ada satupun dari 27 negara anggota Uni Eropa dan hanya satu dari 34 anggota OECD (Organization for Economic Cooperation and Development) yang kinerja mata uangnya masuk dalam 10 mata uang yang paling dihargai di dunia   kata pengamat S&P.   Dolar Australia menempati posisi keempat  setelah peso Filipina  atau meningkat 23 persen dari levelnya pada 2007. Berikutnya real Brazil  peso Colombia  nuevo sol Peru  yang masing-masing meningkat 22 persen  21 persen  dan 19 persen.   Beberapa mata uang berikutnya yakni rubble Rusia yang naik 18 persen  dan riyal Saudi dan bolivar Venezuela  yang keduanya menguat 15 persen.  ",2013-04-28,2013-04-28,"Ini 10 Mata Uang Terbaik di Dunia","http://www.republika.co.id/berita/internasional/asean/13/04/28/mlz1q4-ini-10-mata-uang-terbaik-di-dunia",null,null,null,null,null,null,"Sosial Budaya"
326,"null","TEMPO.CO  Dhaka - Pemilik bangunan yang runtuh dan menewaskan sedikitnya 377 orang di Bangladesh ditangkap setelah sempat buron. Ia ditangkap pasukan khusus saat mencoba melarikan diri ke India. Mohammed Sohel Rana  nama pemilik bangunan  ditangkap di kota Benapole yang berbatasan dengan India. Rana dibawa kembali dengan helikopter ke ibukota Dhaka. Di lokasi bencana  kebakaran terjadi di reruntuhan dan memaksa pihak berwenang untuk menangguhkan pencarian korban. Penangkapan Rana diumumkan dengan pengeras suara di lokasi bencana  disambut sorak-sorai dan tepuk tangan mereka yang melakukan operasi pencarian dan penyelamatan. Kebanyakan korban tewas adalah pekerja pabrik garmen di gedung yang dikenal sebagai Rana Plaza itu. Mengenakan kemeja lusuh  Rana digandeng dua petugas kepolisian. Seorang pejabat keamanan membantu dia untuk minum air setelah ia memberi isyarat kehausan. Dia tidak berbicara sepatah katapun ketika wartawan menanyainya. Saksi mata mengatakan sehari sebelum bangunan runtuh  Rana meyakinkan penyewa  termasuk lima pabrik garmen  bahwa bangunan itu aman kendati pihak kepolisian memerintahkan evakuasi. Sebuah bank dan beberapa toko ditutup  tetapi manajer pabrik garmen di lantai atas memerintahkan pekerja tetap bekerja. Pemerintah setempat mengatakan  izin konstruksi dikeluarkan untuk bangunan lima lantai  bukan delapan lantai. Penangkapan Rana di bawah perintah langsung Perdana Menteri Sheikh Hasina. Istri Rana turut ditahan  juga pejabat yang memberi izin untuk desain bangunan. Stasiun TV lokal melaporkan bahwa Pengadilan Tinggi Bangladesh telah membekukan rekening bank para pemilik pabrik garmen di gedung itu Sebanyak 3.122 buruh bekerja di lima pabrik garmen di gedung itu. Namun saat runtuh  tak jelas berapa banyak di antara mereka yang masuk hari itu.",2013-04-29,2013-04-29,"Pemilik Bangunan yang Runtuh di Bangladesh Ditahan","http://www.tempo.co/read/news/2013/04/29/118476693/Pemilik-Bangunan-yang-Runtuh-di-Bangladesh-Ditahan",null,null,null,null,null,null,"Hukum dan Kriminal"
1083,"null","Abuja (ANTARA News) - Lebih dari 180.000 remaja di Nigeria hidup dengan HIV  demikian disampaikan UNICEF di Markas PBB  New York. Jumlah tersebut disiarkan selama dialog nasional mengenai remaja yang hidup dengan HIV di Nigeria  Selasa  guna meringankan penderitaan pasien muda. Dialog itu diselenggarakan oleh Positive Action for Treatment Access (PATA) melalui kerja sama dengan UNICEF dan Lembaga Nasional bagi Pemantauan AIDS (NACA)  organisasi swadaya masyarakat yang bekerja untuk menjamin setiap orang memiliki akses ke layanan kesehatan yang layak. Meskipun Nigeria telah melakukan banyak langkah pencegahan buat generasi muda  masih banyak pekerjaan perlu dilakukan guna menanggulangi kebutuhan remaja yang hidup dengan HIV  demikian laporan Xinhua. Ketika berbicara selama dialog tersebut  Direktur Jenderal NACA John Idoko mengatakan ia senang PATA telah memperhatikan kepentingan remaja yang hidup dengan HIV di Nigeria. Penerjemah: Chaidar Abdullah",2013-05-15,2013-05-15,"180.000 lebih remaja Nigeria hidup dengan HIV","http://www.antaranews.com/berita/374830/180000-lebih-remaja-nigeria-hidup-dengan-hiv",null,null,null,null,null,null,"Kesehatan"
607,"null","Metrotvnews.com  Jakarta: Peluru yang dilepaskan saat razia balap liar di Jalan Cideng  Jakarta Pusat  bukan menyasar setelah tembakan peringatan  melainkan melenceng dari target.  Kalau peluru nyasar pengertiannya ditembak ke udara dan jatuh memantul lalu kena seseorang. Nah  kalau kasus ini berbeda. Korban ditembak dari jarak tertentu dan salah sasaran   ujar Ketua Komisi Nasional Perlindungan Anak (Komnas PA) Arist Merdeka Sirait  Jumat (3/5). Menurut Arist  penyidik Polsek Gambir berdalih masih melakukan penyidikan terhadap kasus yang menimpa Safira Raudatul Janah  14. Safira menderita luka tembak di bagian mata kaki kiri pada pukul 01.30 WIB  Sabtu (9/3). Belum ada kepastian siapa anggota Polri yang sengaja menembak siswi SMP tersebut.  Anehnya Kapolsek Gambir malah menyodorkan uang Rp4 juta kepada keluarga korban dan enggak jelas tujuannya. Kami akan minta klarifikasi dari polisi   ujar Arist. Karena tidak ada kepastian hukum  lanjut Arist  pihak keluarga selanjutnya mengadukan perkara ini ke Bidang Profesi dan Pengamanan (Propam) Polda Metro Jaya. Laporan ini menyebutkan dugaan penundaan penyidikan ditingkat polsek.  Kami akan follow up laporan di Propam Polda dan kemudian Komnas (Komnas PA) akan pertanyakan ke Polsek Gambir soal perkembangan penyidikan. Kalau tidak bisa ditangani  biar Polres Jakpus saja yang ambil alih   ujarnya. Arist menerangkan  kasus penembakan bermula saat korban dan sembilan rekannya hendak pulang usai latihan futsal. Mereka berboncengan dengan lima sepeda motor dan berjalan beriringan menuju kediaman di Kebayoran Lama. Sesampainya di Jalan Cideng  salah satu rekan korban mengisi bensin di SPBU.  Safira dan temannya yang tidak mengisi bensin menunggu di pinggir jalan. Lalu ada sekumpulan pemuda yang ngebut dengan motor sambil berteriak soal razia polisi.  Remaja puteri ini mengabaikan sahutan tersebut karena merasa tak terlibat dalam balap liar. Tidak berapa lama kemudian  Safira mengerang kesakitan bersamaan dengan suara letusan senjata api. Kamera CCTV milik SPBU di lokasi perkara merekam wajah seorang pria berpakaian putih berbalut jaket hitam yang keluar dari mobil Toyota Avanza hitam. Kehadiran pria tersebut untuk membubarkan aksi balap liar dan dia diduga kuat sebagai pelaku penembakan.  Dalam kamera itu terlihat kalau si pria tersebut memasukkan sejumlah remaja yang ikut balap liar ke dalam mobil. Sekarang bukti rekaman itu sudah diambil polisi dan kami tidak bisa melihatnya lagi   ucap Arist. Meski begitu pihak keluarga masih memliki bukti lain yakni proyektil yang berhasil dikeluarkan tim medis RS Fatmawati. Peluru itu akan digunakan sebagai bukti untuk mencari keadilan.",2013-05-04,2013-05-04,"Komnas PA Yakin Safira bukan Salah Tembak","http://www.metrotvnews.com/metronews/read/2013/05/03/5/151138/Komnas-PA-Yakin-Safira-bukan-Salah/",null,null,null,null,null,null,"Hukum dan Kriminal"
237,"null","REPUBLIKA.CO.ID  JAKARTA -- Dari proses verifikasi yang dilakukan Komisi Pemilihan Umum (KPU)  ditemukan 24 bakal calon anggota legislatif (bacaleg) ganda. Variasi ganda ditemukan dalam ganda partai dan ganda dapil. Ketua KPU Husni Kamil Manik mengatakan  apabila ditemukan bacaleg diajukan satu parpol mewakili lebih dari satu dapil atau lebih dari satu parpol  maka dinyatakan tidak memenuhi syarat (TMS). Pada masa  perbaikan parpol  yang dilakukan mulai dari 9 Mei hingga 22 Mei 2013 partai harus memutuskan calon yang bersangkutan akan diajukan hanya dari satu parpol dan satu dapil saja.  Parpol harus menyoret nama calon di dapil yang tidak dikehendaki   kata Husni saat menyampaikan hasil verifikasi kepada partai di Hotel Sahid  Jakarta  Selasa (7/5). Berikut nama bacaleg ganda yang ditemukan KPU. 1. Muhammad Kadafi  dicalonkan Partai Hanura di Dapil Lampung I Nomor Urut 8. Dicalonkan juga Partai Keadilan dan Persatuan Indonesia (PKPI) di Dapil Lampung I nomor urut 9. 2. H. Handayani SKM  dicalonkan Partai Bulan Bintang (PBB) di Dapil Jambi nomor urut 4. Dicalonkan juga Partai Kebangkitan Bangsa (PKB)  di Dapil Jambi nomor urut 1. 3. DR. Ir. H.F arid Al Fauzy dicalonkan Partai Hanura di Dapil Jatim XI nomor urut 3. Atas nama H. Moch. Farid Al Fauzi dicalonkan Partai Nasdem di Dapil Jatim I nomor urut 10. 4.Rina Yuniarti  calon dari PDIP di Dapil Jatim II nomor urut 6. Dicalonkan juga di Dapil Jatim VI nomor urut 6. 5. DRA. HJ. Sumaiyah MZ MM  dicalonkan Partai Nasdem Dapil Sumsel I nomor urut 7. Dicalonkan juga PDIP di Dapil Jatim VI nomor urut 6. Abdul Rahman Sappara dari Partai Nasdem Dapil Sulsel I. Dicalonkan Partai Hanura dari Dapil Sulses I nomor urut 5. 7. Ady Muzadi dari PKB Dapil Jatim IX nomor urut 4. Dicalonkan Partai Nasdem Dapil Jatim IX nomor urut 2. 8. Nurhidayati dari PKB Dapil Sumsel II nomor urut 3. Dicalonkan juga oleh PKB di Dapil Sumsel I nomor urut 9. Rien Zumaroh dari PKB Dapil Jatim V nomor urut 5. Dicalonkan juga oleh PKB di Dapil Jateng IV nomor urut 3. 10. Marda Hastuti dari PKB Dapil Jabar V   nomor urut 6. Dicalonkan juga oleh PKB di Dapil Bengkulu nomor urut 2. 11. Luluk Hidayah dari PKB Dapil DKI Jakarta III nomor urut 3. Dicalonkan juga oleh PKB di Dapil Kaltim nomor urut 7. 12. Euis Komala dari PKB Dapil Jabar III nomor urut 9. Juga dicalonkan PKB di Dapil Maluku nomor urut 4. 13. Eka Susanti dari PKB Dapil Sumut III nomor urut 9. Dicalonkan juga oleh PKB di Dapil Jateng v nomor urut 8. 14. Hasniati dari PKB Dapil Riau II nomor urut 3. Juga dicalonkan PKB di nomor urut 5 Dapil Kalbar. 15. Karina Astri Rahmawati dari PKB Dapil Jabar IX nomor urut 6. Dicalonkan juga oleh PKB di Dapil NTB nomor urut 9. 16. H. Razman Arief  Sag  MA  SH  Ph.D dari Partai Gerinrda Dapil Sumut II nomor urut 6. Dengan nama DRS. Razman Arif SH. MA. PHD di Dapil Sumut III Partai Hanura dengan nomor urut 10. 17. DR.Nuriyati Samatan DRA M.Ag dari Partai Gerindra Dapil Sulteng nomor urut 3. Dengan nama DR. DRA. Nuriyati Samatan  M.Ag dicalonkan Partai Hanura di Dapil Sulteng nomor urut 6. 18. H.Tabrani Syabirin.LC MA  dicalonkan Partai Gerindra dari Dapil Banten II nomor urut 3. Atas nama Tabrani Syabirin SE MA  dicalonkan PDIP di Dapil Jabar VII nomor urut 7. 19. Bambang Hermanto dari Partai Gerindra Dapil Jambi nomor urut 6. Dengan nama H. Bambang Hermanto  S.pd dicalonkan PDIP di Dapil Jambi nomor urut 4. 20. IR. Bahran Andang  M.Sc  dari Partai Gerindra Dapil Jabar II nomor urut 8. Atas nama Bahran Andang dicalonkan PKPI di Dapil Jabar VII nomor urut 1. 21. Andre Hehanusa  dari Partai Hanura di Dapil Jabar II nomor urut 5. Juga dicalonkan PKPI di Dapil Jabar VII nomor urut 2. 22. Nur Yuniati SE MM  dari Partai Bulan Bintang (PBB) Dapil Aceh I nomor urut 7. Atas nama Nur Yuniati SE dicalonkan juga PBB di Dapil Jabar II nomor urut 2. 23. Sri Sumiati  dari PBB Dapil Jateng VIII nomor urut 3. Dicalonkan juga oleh PBB di Dapil Jatim VII nomor urut 7. 24. IR. H. Bambang Adhyaksa Utomo dari Partai Gerindra Dapil Jatim VI nomor urut 6. Atas nama IR. Bambang Adhyaksa Utomo juga dicalonkan PPP di Dapil Jatim VI nomor urut 1.",2013-05-07,2013-05-07,"Hasil Verifikasi  KPU Temukan 24 Bacaleg Ganda","http://www.republika.co.id/berita/nasional/politik/13/05/07/mmfqtp-hasil-verifikasi-kpu-temukan-24-bacaleg-ganda",null,null,null,null,null,null,"Politik"
